class_id,sale_quantity
103507,180.0
124140,263.0
125403,156.0
136916,162.0
169673,152.0
175962,237.0
178529,148.0
186250,83.0
194201,378.0
194450,271.0
198427,99.0
206765,2057.0
209945,91.0
219195,125.0
221795,391.0
245609,121.0
248352,260.0
249875,138.0
250658,187.0
265980,204.0
270690,595.0
281301,329.0
281792,481.0
289386,441.0
289403,272.0
290854,205.0
291086,320.0
291514,50.0
302513,170.0
304458,373.0
308913,139.0
321683,2186.0
340175,113.0
347384,2898.0
348641,340.0
349023,941.0
350259,577.0
354068,460.0
356986,476.0
359378,64.0
360648,160.0
376193,90.0
378356,422.0
378536,105.0
379265,314.0
379876,133.0
384924,765.0
392593,193.0
395234,102.0
401052,134.0
409854,1675.0
412240,68.0
416749,201.0
417803,116.0
425432,1848.0
436105,431.0
437063,95.0
437598,66.0
453752,190.0
468392,146.0
472603,84.0
475895,97.0
481950,151.0
482497,177.0
492952,150.0
496459,384.0
501564,149.0
510309,94.0
516750,53.0
526401,385.0
527765,65.0
527809,154.0
540712,335.0
559132,104.0
560265,75.0
569154,359.0
576298,174.0
580470,408.0
580634,248.0
587678,155.0
591790,195.0
597927,140.0
603972,414.0
612523,113.0
614059,326.0
619401,392.0
621073,1062.0
628041,746.0
649213,107.0
651347,223.0
651782,80.0
653436,171.0
654134,514.0
671482,88.0
682651,281.0
683364,84.0
687270,415.0
692703,551.0
693436,142.0
713651,192.0
714150,190.0
714152,431.0
714860,138.0
725137,89.0
732758,161.0
735971,2012.0
736094,234.0
739296,816.0
741152,580.0
743957,681.0
745137,852.0
750340,95.0
760412,66.0
786351,104.0
789290,77.0
810398,114.0
815230,168.0
819061,94.0
842246,121.0
851857,157.0
854079,162.0
854548,122.0
861459,252.0
871642,155.0
872180,127.0
883691,254.0
890189,1302.0
905061,363.0
905745,183.0
914348,483.0
923841,642.0
924154,1192.0
948936,75.0
950264,1231.0
953842,1061.0
961362,73.0
961962,80.0
963845,207.0
973106,108.0
978089,400.0
