class_id,year,month,sale_quantity,brand_id,compartment,type_id,level_id,department_id,TR,gearbox_type,displacement,if_charging,price_level,price,driven_type_id,fuel_type_id,newenergy_type_id,emission_standards_id,if_MPV_id,if_luxurious_id,power,cylinder_number,engine_torque,car_length,car_width,car_height,total_quality,equipment_quality,rated_passenger,wheelbase,front_track,rear_track
103507,2015,10,1050.0,831,2,1,3,3,6,AT,1.6,L,10-15W,14.8,1,1,1,1,2,1,91.6,4,150.7,4270.0,1780.0,1630.0,1830.0,1325.0,5,2590.0,1557.0,1570.0
103507,2015,11,481.0,831,2,1,3,3,6,AT,1.6,L,10-15W,14.8,1,1,1,1,2,1,91.6,4,150.7,4270.0,1780.0,1630.0,1830.0,1325.0,5,2590.0,1557.0,1570.0
103507,2015,12,1433.0,831,2,1,3,3,6,AT,1.6,L,10-15W,14.8,1,1,1,1,2,1,91.6,4,150.7,4270.0,1780.0,1630.0,1830.0,1325.0,5,2590.0,1557.0,1570.0
103507,2015,3,58.0,831,2,1,3,3,6,AT,1.6,L,10-15W,14.8,1,1,1,1,2,1,91.6,4,150.7,4270.0,1780.0,1630.0,1830.0,1325.0,5,2590.0,1557.0,1570.0
103507,2015,4,232.0,831,2,1,3,3,6,AT,1.6,L,10-15W,14.8,1,1,1,1,2,1,91.6,4,150.7,4270.0,1780.0,1630.0,1830.0,1325.0,5,2590.0,1557.0,1570.0
103507,2015,5,226.0,831,2,1,3,3,6,AT,1.6,L,10-15W,14.8,1,1,1,1,2,1,91.6,4,150.7,4270.0,1780.0,1630.0,1830.0,1325.0,5,2590.0,1557.0,1570.0
103507,2015,6,286.0,831,2,1,3,3,6,AT,1.6,L,10-15W,14.8,1,1,1,1,2,1,91.6,4,150.7,4270.0,1780.0,1630.0,1830.0,1325.0,5,2590.0,1557.0,1570.0
103507,2015,7,297.0,831,2,1,3,3,6,AT,1.6,L,10-15W,14.8,1,1,1,1,2,1,91.6,4,150.7,4270.0,1780.0,1630.0,1830.0,1325.0,5,2590.0,1557.0,1570.0
103507,2015,8,355.0,831,2,1,3,3,6,AT,1.6,L,10-15W,14.8,1,1,1,1,2,1,91.6,4,150.7,4270.0,1780.0,1630.0,1830.0,1325.0,5,2590.0,1557.0,1570.0
103507,2015,9,442.0,831,2,1,3,3,6,AT,1.6,L,10-15W,14.8,1,1,1,1,2,1,91.6,4,150.7,4270.0,1780.0,1630.0,1830.0,1325.0,5,2590.0,1557.0,1570.0
