class_id,pre_sale_quantity
103507,582.6474805426973
124140,279.9945785159618
125403,219.58221728487564
136916,265.04169802634055
169673,113.50242210566998
175962,370.60715302612635
178529,591.2748220379837
186250,149.00956081390382
194201,352.94026323203
194450,151.54930385872723
198427,74.29977656537667
206765,1320.1300218746067
209945,312.7181411333941
219195,223.12757630193602
221795,259.3269472094749
245609,113.70837636645886
248352,887.8594560315835
249875,101.37505600862202
250658,130.80744679749012
265980,285.0097079393888
270690,990.4860644285378
281301,747.2661291492359
281792,312.2577835519736
289386,347.9971900620684
289403,228.2979011631012
290854,248.76523881978673
291086,689.2954969453689
291514,88.59158846803008
302513,113.15909310087561
304458,395.15688791080987
308913,253.73543027944862
321683,1217.4061402486607
340175,134.94906772844493
347384,2448.688678231351
348641,431.59169283539046
349023,1827.9135261327774
350259,466.25197050634773
354068,609.1061944167501
356986,322.446899238415
359378,42.81283138558268
360648,143.5110149454077
376193,91.33361586749555
378356,492.2993635638058
378536,79.71024702243508
379265,427.5449446014315
379876,160.50530137661846
384924,573.8934741103091
392593,258.8562231177092
395234,90.2537932350114
401052,154.94556965136283
409854,1154.406087455805
412240,172.89625489495697
416749,238.7512916495651
417803,54.57458320623264
425432,1859.7589696556513
436105,356.06913315414454
437063,114.6900123697271
437598,226.33403609486297
453752,301.66935480058805
468392,248.54379359097533
472603,159.09212782375207
475895,93.49078752817587
481950,100.24194140337717
482497,205.7404894798249
492952,226.35803791813552
496459,607.1463170965015
501564,134.44399016261102
510309,141.32073987722396
516750,118.79392205893996
526401,301.0093179553003
527765,45.80617089807987
527809,165.64228034511052
540712,331.57082917340097
559132,180.43204974999654
560265,238.32920332103967
569154,294.4228674292565
576298,515.5509501840888
580470,398.8500038221293
580634,255.79766484545547
587678,351.97788070112466
591790,229.4962796436995
597927,656.7378706694022
603972,489.82255414453647
612523,116.63694752052427
614059,333.9743923687563
619401,255.5276522064209
621073,1276.976105658412
628041,459.00014254961167
649213,92.15864752687514
651347,159.71866622793178
651782,96.45418876885746
653436,129.24349866911768
654134,961.8641039721294
671482,125.33598029683657
682651,303.7480078178645
683364,48.459178368076685
687270,327.66773265371717
692703,566.0130334754786
693436,268.5962619930506
713651,135.24617899980393
714150,175.68649240344763
714152,398.2041884724608
714860,424.2894281151891
725137,92.25195406060666
732758,128.32314221077908
735971,2227.648506255926
736094,348.9783797055483
739296,955.8908189659379
741152,509.7773529246449
743957,684.8222024536133
745137,836.6582858620832
750340,166.1413885641098
760412,32.57790531374514
786351,494.7961404738575
789290,41.837264985044804
810398,79.57945675140247
815230,151.67304685942827
819061,705.7133325392193
842246,158.23009159088136
851857,192.95801549643278
854079,276.45427455328405
854548,100.11691498532892
861459,205.84407888002693
871642,178.53237427681685
872180,135.88506091356277
883691,286.4014335502746
890189,834.3812413439155
905061,156.1432412530482
905745,172.4175341499876
914348,519.0754971492664
923841,609.0405526233092
924154,1030.7767134857177
948936,92.63599968910219
950264,792.5608738332987
953842,1075.2479236061124
961362,75.65458923465262
961962,129.85014033218846
963845,271.36391489464796
973106,98.41173386976124
978089,508.8345381851121
