predict_date,class_id,predict_quantity
201711,103507,582.6474805
201711,124140,276.8197415
201711,125403,269.2134496
201711,136916,236.068208
201711,169673,113.5024221
201711,175962,373.2194506
201711,178529,590.4725836
201711,186250,122.6803112
201711,194201,352.9402632
201711,194450,185.4723515
201711,198427,0.271448148
201711,206765,1440.252969
201711,209945,311.6711054
201711,219195,217.6385658
201711,221795,274.8201642
201711,245609,109.7852197
201711,248352,887.859456
201711,249875,25.45634279
201711,250658,0.28048429
201711,265980,304.6623562
201711,270690,271.9197327
201711,281301,735.2734331
201711,281792,325.604402
201711,289386,335.3787206
201711,289403,131.6872217
201711,290854,262.7985425
201711,291086,623.9216743
201711,291514,79.64656429
201711,302513,113.1590931
201711,304458,390.7720152
201711,308913,253.8311717
201711,321683,1216.17822
201711,340175,132.424389
201711,347384,2448.688678
201711,348641,431.5916928
201711,349023,1827.913526
201711,350259,449.936299
201711,354068,634.3245087
201711,356986,357.445012
201711,359378,42.81283139
201711,360648,143.3972322
201711,376193,91.33361587
201711,378356,492.2993636
201711,378536,84.38330606
201711,379265,432.8769941
201711,379876,128.1974765
201711,384924,654.5216512
201711,392593,258.8562231
201711,395234,96.57509921
201711,401052,160.2117555
201711,409854,1384.965994
201711,412240,162.1992228
201711,416749,246.4197506
201711,417803,59.20601076
201711,425432,1858.838203
201711,436105,369.7949781
201711,437063,115.3731047
201711,437598,218.3937906
201711,453752,338.512964
201711,468392,245.1944144
201711,472603,143.3319249
201711,475895,92.7911752
201711,481950,107.8904392
201711,482497,224.4776586
201711,492952,230.4876424
201711,496459,607.1463171
201711,501564,155.0599672
201711,510309,148.3849782
201711,516750,118.7939221
201711,526401,258.8898744
201711,527765,51.41186939
201711,527809,193.0277857
201711,540712,331.5708292
201711,559132,194.4310841
201711,560265,16.79894755
201711,569154,353.0979688
201711,576298,509.6327619
201711,580470,395.7833736
201711,580634,272.0763168
201711,587678,358.6694212
201711,591790,212.6877972
201711,597927,15.9488771
201711,603972,497.430106
201711,612523,104.9349088
201711,614059,393.4540153
201711,619401,130.9430881
201711,621073,260.7784623
201711,628041,456.3080363
201711,649213,99.61975346
201711,651347,175.9136391
201711,651782,99.65980026
201711,653436,129.2434987
201711,654134,774.6630544
201711,671482,117.0555214
201711,682651,319.465265
201711,683364,48.45917837
201711,687270,345.4839296
201711,692703,579.2728349
201711,693436,124.7048827
201711,713651,155.1320952
201711,714150,175.6864924
201711,714152,400.0897436
201711,714860,424.2894281
201711,725137,91.47863303
201711,732758,147.0546056
201711,735971,2321.873388
201711,736094,306.036826
201711,739296,934.3157141
201711,741152,516.4302626
201711,743957,684.8222025
201711,745137,774.7401518
201711,750340,166.1413886
201711,760412,15.52719736
201711,786351,431.8778169
201711,789290,41.74774136
201711,810398,81.51040127
201711,815230,4.03288454
201711,819061,8.986716449
201711,842246,158.2300916
201711,851857,176.9095874
201711,854079,265.6715653
201711,854548,4.883671833
201711,861459,3.429153895
201711,871642,169.8191957
201711,872180,135.8850609
201711,883691,286.0159677
201711,890189,849.123126
201711,905061,157.4745645
201711,905745,183.2562971
201711,914348,511.8602148
201711,923841,31.6338438
201711,924154,980.9292858
201711,948936,92.63599969
201711,950264,792.5608738
201711,953842,1075.247924
201711,961362,82.85635456
201711,961962,129.6969208
201711,963845,268.7293095
201711,973106,117.9964245
201711,978089,49.17396645
